Category,AIQ MBBS 2025 Last Rank,Score,AIQ MBBS 2024 Last Rank,AIQ MBBS 2023 Last Rank,AIQ MBBS 2022 Last Rank,AIQ MBBS 2021 Last Rank,AIQ MBBS 2020 Last Rank,AIQ MBBS 2019 Last Rank,_college_name,_coldesc_id
UR,27360,,24842,22663,22237,,,,All India Quota,1
OBC,27421,,24982,22784,22338,,,,All India Quota,1
EWS,30921,,28702,24659,23202,,,,All India Quota,1
SC,139123,,133872,123215,119793,,,,All India Quota,1
ST,164804,,166849,159636,151846,,,,All India Quota,1
